BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202202,20,2118,202202,20,2218,165464,999902,"NEVADA",32,2022,"February","High Wind","Z",33,"SOUTHEASTERN ELKO","LKN","20-FEB-22 21:18:00","PST-8","20-FEB-22 22:18:00","0","0","0","0","0.00K","0.00K","Mesonet","36.00","MS",,,,,,,,,,,,,,,,,,,,"Strong winds increased ahead of an approaching cold front leading to a breezy and windy Sunday across the region.","Station (UP994) 3.1 SE West Wendover, Elevation 4408 feet.","CSV"
202202,21,800,202202,22,1000,165465,999903,"NEVADA",32,2022,"February","Heavy Snow","Z",37,"S LANDER & S EUREKA","LKN","21-FEB-22 08:00:00","PST-8","22-FEB-22 10:00:00","0","0","0","0","0.00K","0.00K","SNOTEL",,,,,,,,,,,,,,,,,,,,,,"A low centered over northern and central Nevada continued to produce snow showers for multiple days leading to decent mountain snows.","Thirteen inches fell at station (BCSN2) Big Creek Summit Snotel, Elevation 8684 feet.","CSV"
202202,22,200,202202,22,900,165465,999904,"NEVADA",32,2022,"February","Heavy Snow","Z",31,"N ELKO CNTY","LKN","22-FEB-22 02:00:00","PST-8","22-FEB-22 09:00:00","0","0","0","0","0.00K","0.00K","SNOTEL",,,,,,,,,,,,,,,,,,,,,,"A low centered over northern and central Nevada continued to produce snow showers for multiple days leading to decent mountain snows.","Fifteen inches fell at station (TJMN2) Toe Jam Snotel, Elevation 7700 feet.","CSV"
202202,18,1609,202202,18,1609,165611,1001181,"ATLANTIC SOUTH",87,2022,"February","Waterspout","Z",452,"FERNANDINA BEACH TO ST AUGUSTINE FL OUT 20NM","JAX","18-FEB-22 16:09:00","EST-5","18-FEB-22 16:09:00","0","0","0","0","0.00K","0.00K","Trained Spotter",,,,,,,,,,,,"7","SE","PONTE VEDRA","7","SE","PONTE VEDRA","30.05","-81.17","30.05","-81.17","Pre-frontal showers and thunderstorms moved southward across the local Atlantic waters in the afternoon.","A brief waterspout was observed offshore of South Ponte Vedra Beach. The location was approximated.","CSV"
202202,2,0,202202,3,0,165668,1001527,"AMERICAN SAMOA",97,2022,"February","Heavy Rain","C",2,"TUTUILA","ASO","02-FEB-22 00:00:00","SST-11","03-FEB-22 00:00:00","0","0","0","0","50.00K","0.00K","Official NWS Observations",,,,,,,,,,,,"5","NNW","VAITOGI","5","NNW","VAITOGI","-14.333","-170.7157","-14.3393","-170.7268","A surface trough over the Islands held  the potential for flash flooding for 02/02/2022 to 02/03/2022.","Over a 24-hour period, WSO Pago Pago recorded 4.02 inches of rain, which prompted a flash flood warning for the Islands.","CSV"
202202,12,500,202202,12,2200,165669,1001529,"AMERICAN SAMOA",97,2022,"February","Heavy Rain","C",2,"TUTUILA","ASO","12-FEB-22 05:00:00","SST-11","12-FEB-22 22:00:00","0","0","0","0","0.00K","0.00K","NWS Employee",,,,,,,,,,,,"7","NW","VAITOGI","8","NW","VAITOGI","-14.3364","-170.7856","-14.3311","-170.8031","A surface trough that remained anchored over the territory through the timeframe of events produce heavy rainfall for the Islands.","EOC reported a landslide near Agugulu enroute WSO Pago Pago. Near two inches of rain in a 24 hour period was recorded at WSO Pago Paog.","CSV"
202202,1,100,202202,1,1100,164795,994960,"KANSAS",20,2022,"February","Winter Storm","Z",54,"LYON","TOP","01-FEB-22 01:00:00","CST-6","01-FEB-22 11:00:00","0","0","0","0","0.00K","0.00K","Broadcast Media",,,,,,,,,,,,,,,,,,,,,,"Snow developed during the overnight hours on February 2nd and continued into midday.  Temperatures were in the teens which when combined with northeast winds of 20 to 30 mph caused reduced visibility and blowing and drifting of the dry powdery snow.  Parts of central and east central Kansas received 4 to 7 inches of snow from this storm.","KVOE radio station measured 5 inches of snow in Emporia.  North winds of 20 to 30 mph caused widespread blowing and drifting of snow especially outside of the city.","CSV"
202202,1,100,202202,1,1200,164795,994961,"KANSAS",20,2022,"February","Winter Storm","Z",39,"SHAWNEE","TOP","01-FEB-22 01:00:00","CST-6","01-FEB-22 12:00:00","0","0","0","0","0.00K","0.00K","Official NWS Observations",,,,,,,,,,,,,,,,,,,,,,"Snow developed during the overnight hours on February 2nd and continued into midday.  Temperatures were in the teens which when combined with northeast winds of 20 to 30 mph caused reduced visibility and blowing and drifting of the dry powdery snow.  Parts of central and east central Kansas received 4 to 7 inches of snow from this storm.","A combination of CoCoRaHS, COOP and NWS reports measured or estimated around 5 inches of snow across the county.   North winds of 20 to 30 mph caused widespread blowing and drifting of the snow.  NWS employees measured between 4.5 and 5 inches of snow and the official NWS Topeka observation measured near 5 inches.","CSV"
202202,13,200,202202,14,600,165868,1002855,"MASSACHUSETTS",25,2022,"February","Heavy Snow","Z",12,"SOUTHERN WORCESTER","BOX","13-FEB-22 02:00:00","EST-5","14-FEB-22 06:00:00","0","0","0","0","0.00K","0.00K","Amateur Radio",,,,,,,,,,,,,,,,,,,,,,"A low pressure system tracked offshore of Southern New England Sunday into Monday bringing a long period of snow to the region, mainly eastern Massachusetts and Rhode Island. Snow began after midnight on Sunday and tapered off from west to east early Monday morning. 6 to 8 inches fell centered over eastern Massachusetts.","Snowfall was generally 5 to 9 inches. The highest amount reported was 9.6 inches in Westborough.","CSV"
202202,13,400,202202,14,800,165868,1002857,"MASSACHUSETTS",25,2022,"February","Heavy Snow","Z",13,"WESTERN NORFOLK","BOX","13-FEB-22 04:00:00","EST-5","14-FEB-22 08:00:00","0","0","0","0","0.00K","0.00K","Amateur Radio",,,,,,,,,,,,,,,,,,,,,,"A low pressure system tracked offshore of Southern New England Sunday into Monday bringing a long period of snow to the region, mainly eastern Massachusetts and Rhode Island. Snow began after midnight on Sunday and tapered off from west to east early Monday morning. 6 to 8 inches fell centered over eastern Massachusetts.","Snowfall was generally 6 to 8 inches. The highest amount reported was 8.5 inches in Franklin.","CSV"
202202,13,400,202202,14,800,165868,1002858,"MASSACHUSETTS",25,2022,"February","Heavy Snow","Z",19,"EASTERN PLYMOUTH","BOX","13-FEB-22 04:00:00","EST-5","14-FEB-22 08:00:00","0","0","0","0","0.00K","0.00K","Amateur Radio",,,,,,,,,,,,,,,,,,,,,,"A low pressure system tracked offshore of Southern New England Sunday into Monday bringing a long period of snow to the region, mainly eastern Massachusetts and Rhode Island. Snow began after midnight on Sunday and tapered off from west to east early Monday morning. 6 to 8 inches fell centered over eastern Massachusetts.","Snowfall generally ranged from 7 to 9 inches. The highest amount reported was 9.7 inches in Marshfield.","CSV"
202202,13,300,202202,14,700,165869,1002859,"RHODE ISLAND",44,2022,"February","Heavy Snow","Z",4,"EASTERN KENT","BOX","13-FEB-22 03:00:00","EST-5","14-FEB-22 07:00:00","0","0","0","0","0.00K","0.00K","Amateur Radio",,,,,,,,,,,,,,,,,,,,,,"A low pressure system tracked offshore of Southern New England Sunday into Monday bringing a long period of snow to the region, mainly eastern Massachusetts and Rhode Island. Snow began after midnight on Sunday and tapered off from west to east early Monday morning. 6 to 9 inches fell centered over Rhode Island.","Snowfall amounts generally ranged from 7 to 9 inches. The highest amount reported was 9.6 inches in West Warwick.","CSV"
202202,25,500,202202,25,1000,165593,1001094,"FLORIDA",12,2022,"February","Dense Fog","Z",29,"LAFAYETTE","TAE","25-FEB-22 05:00:00","EST-5","25-FEB-22 10:00:00","0","30","0","0","0.00K","0.00K","Emergency Manager",,,,,,,,,,,,,,,,,,,,,,"A multi-vehicle crash occurred in dense fog in Lafayette county around 6:45 am. There were 30 injuries and 250 gallons of diesel fuel spilled.  The crash occurred at the intersection of SR-51 and CR-354.","A multi-vehicle crash occurred in dense fog in Lafayette county around 6:45 am. There were 30 injuries and 250 gallons of diesel fuel spilled.  The crash occurred at the intersection of SR-51 and CR-354.","CSV"
202202,1,2026,202202,2,300,165336,999296,"MONTANA",30,2022,"February","Winter Storm","Z",7,"BUTTE / BLACKFOOT REGION","MSO","01-FEB-22 20:26:00","MST-7","02-FEB-22 03:00:00","0","0","0","0","0.00K","0.00K","Department of Highways",,,,,,,,,,,,,,,,,,,,,,"Instability ahead of an arctic front resulted in strong snow showers with gusty winds during the afternoon and evening hours.","Snow showers, wind gusts to 40 miles per hour, and a sharp temperature drop along an advancing arctic front resulted in severe driving conditions on Interstate 90 from near Drummond to Butte. Similar road conditions were observed on US Highway 12 from MacDonald Pass to Elliston.","CSV"
202202,3,900,202202,4,1600,164922,995747,"NEW YORK",36,2022,"February","Winter Storm","Z",31,"WESTERN CLINTON","BTV","03-FEB-22 09:00:00","EST-5","04-FEB-22 16:00:00","0","0","0","0","0.00K","0.00K","COOP Observer",,,,,,,,,,,,,,,,,,,,,,"An arctic front draped across northern NY and the VT-Canadian border on February 3rd slowly drifted south across much of NY and the VT/MA border by late in the day of February 4th. Light precipitation moved across northern NY during the morning and early afternoon hours of February 3rd with primarily snow in the St. Lawrence River valley and the Adirondacks' with light rain to light snow in the Champlain Valley.||However, during the late evening and overnight hours of February 3rd into the midday hours of February 4th, a series of weak low pressure areas moved northeast along the aforementioned boundary and brought steadier, heavier precipitation in the form of snow across northern NY, especially the Adirondacks and Champlain Valley. ||Storm total snowfall ranged from 6 to 10 inches across the St. Lawrence valley to 10 to 16 inches across the Adirondacks and the Champlain Valley.","Total snowfall ranged from 10 to 14 inches with much of this falling in the late evening of February 3rd to around daybreak on February 4th.","CSV"
202202,3,900,202202,4,1600,164922,995749,"NEW YORK",36,2022,"February","Winter Storm","Z",30,"SOUTHERN FRANKLIN","BTV","03-FEB-22 09:00:00","EST-5","04-FEB-22 16:00:00","0","0","0","0","0.00K","0.00K","COOP Observer",,,,,,,,,,,,,,,,,,,,,,"An arctic front draped across northern NY and the VT-Canadian border on February 3rd slowly drifted south across much of NY and the VT/MA border by late in the day of February 4th. Light precipitation moved across northern NY during the morning and early afternoon hours of February 3rd with primarily snow in the St. Lawrence River valley and the Adirondacks' with light rain to light snow in the Champlain Valley.||However, during the late evening and overnight hours of February 3rd into the midday hours of February 4th, a series of weak low pressure areas moved northeast along the aforementioned boundary and brought steadier, heavier precipitation in the form of snow across northern NY, especially the Adirondacks and Champlain Valley. ||Storm total snowfall ranged from 6 to 10 inches across the St. Lawrence valley to 10 to 16 inches across the Adirondacks and the Champlain Valley.","Total snowfall ranged from 10 to 14 inches with much of this falling in the late evening of February 3rd to around daybreak on February 4th.","CSV"
202202,3,900,202202,4,1600,164922,995750,"NEW YORK",36,2022,"February","Winter Storm","Z",27,"NORTHERN FRANKLIN","BTV","03-FEB-22 09:00:00","EST-5","04-FEB-22 16:00:00","0","0","0","0","0.00K","0.00K","COOP Observer",,,,,,,,,,,,,,,,,,,,,,"An arctic front draped across northern NY and the VT-Canadian border on February 3rd slowly drifted south across much of NY and the VT/MA border by late in the day of February 4th. Light precipitation moved across northern NY during the morning and early afternoon hours of February 3rd with primarily snow in the St. Lawrence River valley and the Adirondacks' with light rain to light snow in the Champlain Valley.||However, during the late evening and overnight hours of February 3rd into the midday hours of February 4th, a series of weak low pressure areas moved northeast along the aforementioned boundary and brought steadier, heavier precipitation in the form of snow across northern NY, especially the Adirondacks and Champlain Valley. ||Storm total snowfall ranged from 6 to 10 inches across the St. Lawrence valley to 10 to 16 inches across the Adirondacks and the Champlain Valley.","Total snowfall ranged from 8 to 10 inches with much of this falling in the late evening of February 3rd to around daybreak on February 4th.","CSV"
202202,3,900,202202,4,1600,164922,995752,"NEW YORK",36,2022,"February","Winter Storm","Z",29,"SOUTHEASTERN ST. LAWRENCE","BTV","03-FEB-22 09:00:00","EST-5","04-FEB-22 16:00:00","0","0","0","0","0.00K","0.00K","COOP Observer",,,,,,,,,,,,,,,,,,,,,,"An arctic front draped across northern NY and the VT-Canadian border on February 3rd slowly drifted south across much of NY and the VT/MA border by late in the day of February 4th. Light precipitation moved across northern NY during the morning and early afternoon hours of February 3rd with primarily snow in the St. Lawrence River valley and the Adirondacks' with light rain to light snow in the Champlain Valley.||However, during the late evening and overnight hours of February 3rd into the midday hours of February 4th, a series of weak low pressure areas moved northeast along the aforementioned boundary and brought steadier, heavier precipitation in the form of snow across northern NY, especially the Adirondacks and Champlain Valley. ||Storm total snowfall ranged from 6 to 10 inches across the St. Lawrence valley to 10 to 16 inches across the Adirondacks and the Champlain Valley.","Total snowfall ranged from 6 to 10 inches with much of this falling in the late evening of February 3rd to around daybreak on February 4th.","CSV"
202202,3,900,202202,4,1600,164922,995751,"NEW YORK",36,2022,"February","Winter Storm","Z",26,"NORTHERN ST. LAWRENCE","BTV","03-FEB-22 09:00:00","EST-5","04-FEB-22 16:00:00","0","0","0","0","0.00K","0.00K","COOP Observer",,,,,,,,,,,,,,,,,,,,,,"An arctic front draped across northern NY and the VT-Canadian border on February 3rd slowly drifted south across much of NY and the VT/MA border by late in the day of February 4th. Light precipitation moved across northern NY during the morning and early afternoon hours of February 3rd with primarily snow in the St. Lawrence River valley and the Adirondacks' with light rain to light snow in the Champlain Valley.||However, during the late evening and overnight hours of February 3rd into the midday hours of February 4th, a series of weak low pressure areas moved northeast along the aforementioned boundary and brought steadier, heavier precipitation in the form of snow across northern NY, especially the Adirondacks and Champlain Valley. ||Storm total snowfall ranged from 6 to 10 inches across the St. Lawrence valley to 10 to 16 inches across the Adirondacks and the Champlain Valley.","Total snowfall ranged from 6 to 10 inches with much of this falling in the late evening of February 3rd to around daybreak on February 4th.","CSV"
